Locus	Representative_gene_model	Symbol	Q_val_up	Description
AT1G62390	AT1G62390.1	CLMP1	1	Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein
AT1G62400	AT1G62400.1	HT1	NA	Protein kinase superfamily protein
AT1G62410	AT1G62410.1	""	NA	MIF4G domain-containing protein
AT1G62420	AT1G62420.1	""	NA	DUF506 family protein (DUF506)
AT1G62421	AT1G62421.1	""	NA	hypothetical protein
AT1G62422	AT1G62422.1	""	NA	hypothetical protein
AT1G62430	AT1G62430.1	ATCDS1	1	CDP-diacylglycerol synthase 1
AT1G62440	AT1G62440.1	LRX2	NA	leucine-rich repeat/extensin 2
AT1G62450	AT1G62450.1	""	NA	Immunoglobulin E-set superfamily protein
AT1G62480	AT1G62480.1	""	NA	Vacuolar calcium-binding protein-like protein
AT1G62490	AT1G62490.1	""	NA	Mitochondrial transcription termination factor family protein
AT1G62500	AT1G62500.1	""	NA	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G62510	AT1G62510.1	""	NA	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G62520	AT1G62520.1	""	NA	sulfated surface-like glycoprotein
AT1G62530	AT1G62530.1	""	NA	hypothetical protein (DUF863)
AT1G62540	AT1G62540.1	FMO GS-OX2	1	flavin-monooxygenase glucosinolate S-oxygenase 2
AT1G62560	AT1G62560.1	FMO GS-OX3	1	flavin-monooxygenase glucosinolate S-oxygenase 3
AT1G62570	AT1G62570.1	FMO GS-OX4	NA	flavin-monooxygenase glucosinolate S-oxygenase 4
AT1G62580	AT1G62580.1	NOGC1	1	flavin containing monooxygenase FMO GS-OX-like protein
AT1G62590	AT1G62590.1	AtPPR-AC	0.029757	pentatricopeptide (PPR) repeat-containing protein
AT1G62600	AT1G62600.1	""	1	Flavin-binding monooxygenase family protein
AT1G62610	AT1G62610.4	""	0.105123	NAD(P)-binding Rossmann-fold superfamily protein
AT1G62620	AT1G62620.1	""	1	Flavin-binding monooxygenase family protein
AT1G62630	AT1G62630.1	""	NA	Disease resistance protein (CC-NBS-LRR class) family
AT1G62640	AT1G62640.1	KAS III	1	3-ketoacyl-acyl carrier protein synthase III
AT1G62660	AT1G62660.1	""	1	Glycosyl hydrolases family 32 protein
AT1G62670	AT1G62670.1	RPF2	NA	rna processing factor 2
AT1G62680	AT1G62680.1	""	1	Pentatricopeptide repeat (PPR) superfamily protein
AT1G62690	AT1G62690.1	""	NA	hypothetical protein
AT1G62700	AT1G62700.1	ANAC026	NA	NAC (No apical meristem) domain transcriptional regulator superfamily protein
AT1G62710	AT1G62710.1	AEP2	NA	beta vacuolar processing enzyme
AT1G62720	AT1G62720.1	AtNG1	NA	Pentatricopeptide repeat (PPR-like) superfamily protein
AT1G62730	AT1G62730.1	""	NA	Terpenoid synthases superfamily protein
AT1G62740	AT1G62740.1	Hop2	NA	stress-inducible protein
AT1G62750	AT1G62750.1	ATSCO1	NA	Translation elongation factor EFG/EF2 protein
AT1G62760	AT1G62760.1	AtPMEI10	NA	Plant invertase/pectin methylesterase inhibitor superfamily protein
AT1G62770	AT1G62770.1	PMEI9	NA	Plant invertase/pectin methylesterase inhibitor superfamily protein
AT1G62780	AT1G62780.1	""	7.7e-05	dimethylallyl, adenosine tRNA methylthiotransferase
AT1G62790	AT1G62790.1	""	1	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G62800	AT1G62800.2	ASP4	1	aspartate aminotransferase 4
AT1G62810	AT1G62810.1	CuAO1	1	Copper amine oxidase family protein
AT1G62820	AT1G62820.1	CML14	NA	Calcium-binding EF-hand family protein
AT1G62830	AT1G62830.1	ATLSD1	NA	LSD1-like 1
AT1G62840	AT1G62840.1	""	NA	ankyrin repeat/KH domain protein (DUF1442)
AT1G62850	AT1G62850.2	""	1	Class I peptide chain release factor
AT1G62870	AT1G62870.1	""	NA	hypothetical protein
AT1G62880	AT1G62880.1	""	1	Cornichon family protein
AT1G62886	AT1G62886.1	""	NA	Nucleotide excision repair, TFIIH, subunit TTDA
AT1G62900	AT1G62900.1	""	1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G62910	AT1G62910.1	RFL9	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT1G62914	AT1G62914.1	""	NA	pentatricopeptide (PPR) repeat-containing protein
AT1G62920	AT1G62920.1	""	1	proteasome maturation factor
AT1G62930	AT1G62930.1	RPF3	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G62935	AT1G62935.1	""	NA	transmembrane protein
AT1G62940	AT1G62940.1	ACOS5	NA	acyl-CoA synthetase 5
AT1G62950	AT1G62950.1	""	NA	leucine-rich repeat transmembrane protein kinase family protein
AT1G62960	AT1G62960.1	ACS10	NA	ACC synthase 10
AT1G62970	AT1G62970.1	""	1	Chaperone DnaJ-domain superfamily protein
AT1G62975	AT1G62975.1	""	1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G62978	AT1G62978.1	""	NA	transmembrane protein
AT1G62980	AT1G62980.1	ATEXP18	NA	expansin A18
AT1G62981	AT1G62981.1	""	NA	transmembrane protein, putative (DUF1191)
AT1G62990	AT1G62990.1	IRX11	NA	homeobox knotted-like protein
AT1G63000	AT1G63000.1	NRS/ER	NA	nucleotide-rhamnose synthase/epimerase-reductase
AT1G63010	AT1G63010.5	PHT5;1	0.98962	Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein
AT1G63020	AT1G63020.1	NRPD1	NA	nuclear RNA polymerase D1A
AT1G63030	AT1G63030.1	ATDDF2	NA	Integrase-type DNA-binding superfamily protein
AT1G63050	AT1G63050.1	AtLPLAT2	NA	MBOAT (membrane bound O-acyl transferase) family protein
AT1G63055	AT1G63055.1	""	NA	transmembrane protein
AT1G63057	AT1G63057.1	""	NA	transmembrane protein
AT1G63060	AT1G63060.1	""	NA	ribosome biogenesis NEP1-like protein
AT1G63070	AT1G63070.1	""	NA	pentatricopeptide (PPR) repeat-containing protein
AT1G63080	AT1G63080.1	""	1	Pentatricopeptide repeat (PPR) superfamily protein
AT1G63090	AT1G63090.1	AtPP2-A11	1	phloem protein 2-A11
AT1G63100	AT1G63100.1	""	1	GRAS family transcription factor
AT1G63105	AT1G63105.1	""	NA	hypothetical protein
AT1G63110	AT1G63110.1	""	1	GPI transamidase subunit PIG-U
AT1G63120	AT1G63120.1	ATRBL2	1	RHOMBOID-like 2
AT1G63130	AT1G63130.1	RPF6	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G63140	AT1G63140.2	""	NA	O-methyltransferase family protein
AT1G63150	AT1G63150.1	""	0.88887	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G63160	AT1G63160.1	EMB2811	NA	replication factor C 2
AT1G63170	AT1G63170.1	""	1	Zinc finger, C3HC4 type (RING finger) family protein
AT1G63180	AT1G63180.1	UGE3	NA	UDP-D-glucose/UDP-D-galactose 4-epimerase 3
AT1G63190	AT1G63190.1	""	NA	Cystatin/monellin superfamily protein
AT1G63200	AT1G63200.1	""	NA	Cystatin/monellin superfamily protein
AT1G63205	AT1G63205.1	""	NA	Cystatin/monellin superfamily protein
AT1G63206	AT1G63206.1	""	NA	Cystatin/monellin superfamily protein
AT1G63210	AT1G63210.1	SPT6	NA	Transcription elongation factor Spt6
AT1G63220	AT1G63220.1	""	1	Calcium-dependent lipid-binding (CaLB domain) family protein
AT1G63230	AT1G63230.1	""	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G63240	AT1G63240.1	""	1	hypothetical protein
AT1G63245	AT1G63245.1	CLE14	NA	CLAVATA3/ESR-RELATED 14
AT1G63250	AT1G63250.1	""	1	DEA(D/H)-box RNA helicase family protein
AT1G63260	AT1G63260.1	TET10	0.733127	tetraspanin10
AT1G63270	AT1G63270.1	ABCI1	NA	non-intrinsic ABC protein 10
AT1G63280	AT1G63280.1	""	NA	Serine protease inhibitor (SERPIN) family protein
AT1G63290	AT1G63290.1	""	1	Aldolase-type TIM barrel family protein
AT1G63295	AT1G63295.1	""	NA	Remorin family protein
AT1G63300	AT1G63300.1	""	NA	Myosin heavy chain-related protein
AT1G63310	AT1G63310.1	""	NA	hypothetical protein
AT1G63320	AT1G63320.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT1G63330	AT1G63330.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT1G63340	AT1G63340.1	""	NA	Flavin-containing monooxygenase family protein
AT1G63350	AT1G63350.1	""	1	Disease resistance protein (CC-NBS-LRR class) family
AT1G63360	AT1G63360.1	""	1	Disease resistance protein (CC-NBS-LRR class) family
AT1G63370	AT1G63370.1	""	NA	Flavin-binding monooxygenase family protein
AT1G63380	AT1G63380.1	""	NA	NAD(P)-binding Rossmann-fold superfamily protein
AT1G63390	AT1G63390.1	""	NA	flavin containing monooxygenase FMO GS-OX-like protein
AT1G63400	AT1G63400.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT1G63410	AT1G63410.1	""	NA	LURP-one-like protein (DUF567)
AT1G63420	AT1G63420.1	""	1	O-glucosyltransferase-like protein (DUF821)
AT1G63430	AT1G63430.2	""	1	Leucine-rich repeat protein kinase family protein
AT1G63440	AT1G63440.1	HMA5	1	heavy metal atpase 5
AT1G63450	AT1G63450.1	RHS8	NA	root hair specific 8
AT1G63460	AT1G63460.1	ATGPX8	0.531208	glutathione peroxidase 8
AT1G63470	AT1G63470.1	AHL5	1	AT hook motif DNA-binding family protein
AT1G63480	AT1G63480.1	AHL12	1	AT hook motif DNA-binding family protein
AT1G63490	AT1G63490.1	""	0.702729	transcription factor jumonji (jmjC) domain-containing protein
AT1G63500	AT1G63500.1	BSK7	1	kinase with tetratricopeptide repeat domain-containing protein
AT1G63520	AT1G63520.1	""	NA	hypothetical protein (DUF3527)
AT1G63522	AT1G63522.1	""	NA	Defensin-like (DEFL) family protein
AT1G63530	AT1G63530.1	""	1	hypothetical protein
AT1G63535	AT1G63535.1	""	NA	Defensin-like (DEFL) family protein
AT1G63540	AT1G63540.1	""	NA	hydroxyproline-rich glycoprotein family protein
AT1G63550	AT1G63550.1	""	NA	Receptor-like protein kinase-related family protein
AT1G63570	AT1G63570.1	""	NA	Receptor-like protein kinase-related family protein
AT1G63580	AT1G63580.1	""	NA	Receptor-like protein kinase-related family protein
AT1G63590	AT1G63590.1	""	NA	Receptor-like protein kinase-related family protein
AT1G63600	AT1G63600.1	""	NA	Receptor-like protein kinase-related family protein
AT1G63610	AT1G63610.2	""	7.7e-05	hypothetical protein
AT1G63630	AT1G63630.1	""	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G63640	AT1G63640.1	""	1	P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein
AT1G63650	AT1G63650.1	AtEGL3	NA	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G63660	AT1G63660.1	""	0.117505	GMP synthase (glutamine-hydrolyzing), putative / glutamine amidotransferase
AT1G63670	AT1G63670.1	TRM12	1	hypothetical protein (DUF3741)
AT1G63680	AT1G63680.1	APG13	1	ALBINO OR PALE-GREEN 13
AT1G63690	AT1G63690.2	ATSPPL2	0.204638	SIGNAL PEPTIDE PEPTIDASE-LIKE 2
AT1G63700	AT1G63700.1	EMB71	NA	Protein kinase superfamily protein
AT1G63710	AT1G63710.1	CYP86A7	NA	cytochrome P450, family 86, subfamily A, polypeptide 7
AT1G63720	AT1G63720.1	""	1	hydroxyproline-rich glycoprotein family protein
AT1G63730	AT1G63730.1	""	1	Disease resistance protein (TIR-NBS-LRR class) family
AT1G63740	AT1G63740.1	""	1	Disease resistance protein (TIR-NBS-LRR class) family
AT1G63750	AT1G63750.3	""	1	Disease resistance protein (TIR-NBS-LRR class) family
AT1G63770	AT1G63770.5	""	0.528214	Peptidase M1 family protein
AT1G63780	AT1G63780.1	IMP4	NA	Ribosomal RNA processing Brix domain protein
AT1G63800	AT1G63800.1	UBC5	0.001135	ubiquitin-conjugating enzyme 5
AT1G63810	AT1G63810.1	""	0.839007	nucleolar protein
AT1G63820	AT1G63820.1	""	1	CCT motif family protein
AT1G63830	AT1G63830.2	""	1	PLAC8 family protein
AT1G63840	AT1G63840.1	""	NA	RING/U-box superfamily protein
AT1G63850	AT1G63850.1	""	7.7e-05	BTB/POZ domain-containing protein
AT1G63855	AT1G63855.3	""	1	Putative methyltransferase family protein
AT1G63860	AT1G63860.1	""	1	Disease resistance protein (TIR-NBS-LRR class) family
AT1G63870	AT1G63870.1	""	NA	Disease resistance protein (TIR-NBS-LRR class) family
AT1G63880	AT1G63880.1	""	1	Disease resistance protein (TIR-NBS-LRR class) family
AT1G63900	AT1G63900.2	DAL1	1	E3 Ubiquitin ligase family protein
AT1G63910	AT1G63910.1	AtMYB103	NA	myb domain protein 103
AT1G63930	AT1G63930.1	ROH1	NA	from the Czech roh meaning corner
AT1G63940	AT1G63940.2	MDAR6	7.7e-05	monodehydroascorbate reductase 6
AT1G63950	AT1G63950.1	""	NA	Heavy metal transport/detoxification superfamily protein
AT1G63960	AT1G63960.1	""	NA	Copper transport protein family
AT1G63970	AT1G63970.1	ISPF	1	isoprenoid F
AT1G63980	AT1G63980.1	""	0.579667	D111/G-patch domain-containing protein
AT1G63990	AT1G63990.1	SPO11-2	NA	sporulation 11-2
AT1G64000	AT1G64000.1	ATWRKY56	NA	WRKY DNA-binding protein 56
AT1G64010	AT1G64010.1	""	NA	Serine protease inhibitor (SERPIN) family protein
AT1G64020	AT1G64020.1	""	NA	Serine protease inhibitor (SERPIN) family protein
AT1G64030	AT1G64030.1	ATSRP3	NA	serpin 3
AT1G64040	AT1G64040.1	TOPP3	1	type one serine/threonine protein phosphatase 3
AT1G64050	AT1G64050.1	""	0.198929	hypothetical protein
AT1G64060	AT1G64060.1	ATRBOH F	1	respiratory burst oxidase protein F
AT1G64065	AT1G64065.1	""	NA	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
AT1G64070	AT1G64070.1	RLM1	NA	Disease resistance protein (TIR-NBS-LRR class) family
AT1G64080	AT1G64080.1	MAKR2	NA	membrane-associated kinase regulator
AT1G64090	AT1G64090.2	RTN3	1	Reticulan like protein B3
AT1G64100	AT1G64100.1	""	NA	pentatricopeptide (PPR) repeat-containing protein
AT1G64105	AT1G64105.1	ANAC027	NA	NAC domain containing protein 27
AT1G64107	AT1G64107.1	""	NA	Putative membrane lipoprotein
AT1G64110	AT1G64110.2	DAA1	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G64130	AT1G64130.1	""	NA	Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G64140	AT1G64140.1	""	1	WRKY transcription factor
AT1G64150	AT1G64150.1	CCHA1	0.283322	Uncharacterized protein family (UPF0016)
AT1G64160	AT1G64160.1	AtDIR5	NA	Disease resistance-responsive (dirigent-like protein) family protein
AT1G64170	AT1G64170.1	ATCHX16	0.738053	cation/H+ exchanger 16
AT1G64180	AT1G64180.1	""	1	intracellular protein transport protein USO1-like protein
AT1G64185	AT1G64185.1	""	NA	Lactoylglutathione lyase / glyoxalase I family protein
AT1G64190	AT1G64190.1	PGD1	NA	6-phosphogluconate dehydrogenase family protein
AT1G64195	AT1G64195.1	""	NA	Defensin-like (DEFL) family protein
AT1G64200	AT1G64200.1	VHA-E3	1	vacuolar H+-ATPase subunit E isoform 3
AT1G64210	AT1G64210.1	""	1	Leucine-rich repeat protein kinase family protein
AT1G64220	AT1G64220.1	TOM7-2	NA	translocase of outer membrane 7 kDa subunit 2
AT1G64230	AT1G64230.4	UBC28	0.077826	ubiquitin-conjugating enzyme 28
AT1G64235	AT1G64235.1	""	NA	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G64255	AT1G64255.1	""	NA	MuDR family transposase
AT1G64260	AT1G64260.1	""	NA	MuDR family transposase
AT1G64280	AT1G64280.1	ATNPR1	NA	regulatory protein (NPR1)
AT1G64290	AT1G64290.1	""	NA	F-box protein-like protein
AT1G64295	AT1G64295.1	""	NA	F-box associated ubiquitination effector family protein
AT1G64300	AT1G64300.1	""	1	Protein kinase family protein
AT1G64310	AT1G64310.1	OTP71	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G64320	AT1G64320.1	""	NA	myosin heavy chain-like protein
AT1G64330	AT1G64330.1	""	NA	myosin heavy chain-like protein
AT1G64340	AT1G64340.1	""	NA	Serine/Threonine-kinase
AT1G64350	AT1G64350.1	SEH1H	1	Transducin/WD40 repeat-like superfamily protein
AT1G64355	AT1G64355.1	""	1	1-acyl-sn-glycerol-3-phosphate acyltransferase
AT1G64360	AT1G64360.1	SAQR	NA	hypothetical protein
AT1G64370	AT1G64370.1	""	NA	filaggrin-like protein
AT1G64380	AT1G64380.1	""	NA	Integrase-type DNA-binding superfamily protein
AT1G64385	AT1G64385.1	""	1	transmembrane protein
AT1G64390	AT1G64390.1	AtGH9C2	NA	glycosyl hydrolase 9C2
AT1G64400	AT1G64400.1	LACS3	NA	AMP-dependent synthetase and ligase family protein
AT1G64405	AT1G64405.1	""	NA	hypothetical protein
AT1G64430	AT1G64430.1	""	7.7e-05	Pentatricopeptide repeat (PPR) superfamily protein
AT1G64440	AT1G64440.1	REB1	1	NAD(P)-binding Rossmann-fold superfamily protein
AT1G64450	AT1G64450.1	""	NA	Glycine-rich protein family
AT1G64460	AT1G64460.1	""	1	phosphatidylinositol 4-kinase gamma-like protein
AT1G64480	AT1G64480.1	CBL8	1	calcineurin B-like protein 8
AT1G64490	AT1G64490.1	""	NA	DEK, chromatin associated protein
AT1G64500	AT1G64500.1	""	NA	Glutaredoxin family protein
AT1G64510	AT1G64510.1	PRPS6	NA	Translation elongation factor EF1B/ribosomal protein S6 family protein
AT1G64520	AT1G64520.1	RPN12a	NA	regulatory particle non-ATPase 12A
AT1G64530	AT1G64530.1	NLP6	0.157039	Plant regulator RWP-RK family protein
AT1G64540	AT1G64540.1	""	1	F-box/FBD-like domains containing protein
AT1G64550	AT1G64550.1	ABCF3	NA	general control non-repressible 3
AT1G64561	AT1G64561.1	""	1	hypothetical protein
AT1G64570	AT1G64570.1	DUO3	1	Homeodomain-like superfamily protein
AT1G64580	AT1G64580.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT1G64583	AT1G64583.1	""	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G64585	AT1G64585.1	DVL12	NA	ROTUNDIFOLIA like 22
AT1G64590	AT1G64590.1	""	NA	NAD(P)-binding Rossmann-fold superfamily protein
AT1G64600	AT1G64600.1	""	1	copper ion binding / methyltransferase
AT1G64610	AT1G64610.1	""	1	Transducin/WD40 repeat-like superfamily protein
AT1G64620	AT1G64620.1	DOF1.8	NA	Dof-type zinc finger DNA-binding family protein
AT1G64625	AT1G64625.1	FST	1	Serine/threonine-protein kinase WNK (With No Lysine)-like protein
AT1G64630	AT1G64630.1	ATWNK10	NA	with no lysine (K) kinase 10
AT1G64640	AT1G64640.1	AtENODL8	NA	early nodulin-like protein 8
AT1G64650	AT1G64650.1	""	0.321576	Major facilitator superfamily protein
AT1G64660	AT1G64660.1	ATMGL	NA	methionine gamma-lyase
AT1G64670	AT1G64670.1	BDG1	NA	alpha/beta-Hydrolases superfamily protein
AT1G64680	AT1G64680.1	""	NA	beta-carotene isomerase D27
AT1G64690	AT1G64690.1	BLT	NA	branchless trichome
AT1G64700	AT1G64700.1	""	NA	DUF4228 domain protein
AT1G64710	AT1G64710.1	""	NA	GroES-like zinc-binding alcohol dehydrogenase family protein
AT1G64720	AT1G64720.1	CP5	0.28385	Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G64740	AT1G64740.1	TUA1	1	alpha-1 tubulin
AT1G64750	AT1G64750.3	ATDSS1(I)	1	deletion of SUV3 suppressor 1(I)
AT1G64760	AT1G64760.1	ZET	1	O-Glycosyl hydrolases family 17 protein
AT1G64770	AT1G64770.3	NDF2	1	NDH-dependent cyclic electron flow 1
AT1G64780	AT1G64780.1	AMT1;2	NA	ammonium transporter 1
AT1G64790	AT1G64790.2	ILA	1	ILITYHIA
AT1G64800	AT1G64800.1	""	NA	DNA binding / transcription factor
AT1G64810	AT1G64810.2	APO1	0.868933	APO RNA-binding protein (DUF794)
AT1G64820	AT1G64820.1	""	NA	MATE efflux family protein
AT1G64830	AT1G64830.1	""	NA	Eukaryotic aspartyl protease family protein
AT1G64840	AT1G64840.1	""	0.779062	LOW protein: F-box/kelch-repeat protein (DUF295)
AT1G64850	AT1G64850.1	""	1	Calcium-binding EF hand family protein
AT1G64860	AT1G64860.1	RPOD1	1	sigma factor A
AT1G64870	AT1G64870.1	""	NA	hypothetical protein
AT1G64880	AT1G64880.1	""	1	Ribosomal protein S5 family protein
AT1G64890	AT1G64890.1	""	NA	Major facilitator superfamily protein
AT1G64900	AT1G64900.1	CYP89	NA	cytochrome P450, family 89, subfamily A, polypeptide 2
AT1G64910	AT1G64910.1	""	NA	UDP-Glycosyltransferase superfamily protein
AT1G64920	AT1G64920.1	""	NA	UDP-Glycosyltransferase superfamily protein
AT1G64930	AT1G64930.1	CYP89A7	NA	cytochrome P450, family 87, subfamily A, polypeptide 7
AT1G64940	AT1G64940.1	CYP89A6	NA	cytochrome P450, family 87, subfamily A, polypeptide 6
AT1G64950	AT1G64950.1	CYP89A5	NA	cytochrome P450, family 89, subfamily A, polypeptide 5
AT1G64960	AT1G64960.1	HEB1	1	ARM repeat superfamily protein
AT1G64970	AT1G64970.1	G-TMT	NA	gamma-tocopherol methyltransferase
AT1G64980	AT1G64980.1	CDI	0.561668	Nucleotide-diphospho-sugar transferases superfamily protein
AT1G64990	AT1G64990.1	GTG1	0.010139	GPCR-type G protein 1
AT1G65000	AT1G65000.1	""	NA	F-box only protein
AT1G65010	AT1G65010.1	""	NA	WEB family protein (DUF827)
AT1G65020	AT1G65020.1	""	0.266437	plasma protein
AT1G65030	AT1G65030.1	""	NA	Transducin/WD40 repeat-like superfamily protein
AT1G65032	AT1G65032.1	""	NA	COMPLEX 1 LYR-like protein
AT1G65040	AT1G65040.2	AtHrd1B	1	RING/U-box superfamily protein
AT1G65050	AT1G65050.1	""	NA	TRAF-like superfamily protein
AT1G65060	AT1G65060.1	4CL3	0.775749	4-coumarate:CoA ligase 3
AT1G65070	AT1G65070.2	""	1	DNA mismatch repair protein MutS, type 2
AT1G65080	AT1G65080.1	""	1	Membrane insertion protein, OxaA/YidC with tetratricopeptide repeat domain-containing protein
AT1G65090	AT1G65090.2	""	1	nucleolin
AT1G65110	AT1G65110.1	""	1	Ubiquitin carboxyl-terminal hydrolase-related protein
AT1G65113	AT1G65113.1	SCRL2	NA	SCR-like 2
AT1G65120	AT1G65120.2	""	1	Ubiquitin carboxyl-terminal hydrolase-related protein
AT1G65130	AT1G65130.1	""	1	Ubiquitin carboxyl-terminal hydrolase-related protein
AT1G65140	AT1G65140.1	""	NA	Ubiquitin carboxyl-terminal hydrolase family protein
AT1G65150	AT1G65150.1	""	1	TRAF-like family protein
AT1G65160	AT1G65160.1	""	NA	ubiquitin carboxyl-terminal hydrolase family protein
AT1G65170	AT1G65170.1	""	NA	Ubiquitin carboxyl-terminal hydrolase family protein
AT1G65180	AT1G65180.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT1G65190	AT1G65190.1	""	NA	Protein kinase superfamily protein
